lemma,word,covered,Max_strength.perceptual,Minkowski3.perceptual,Visual.mean,Haptic.mean,Auditory.mean,Max_strength.sensorimotor,Dominant.perceptual,Percent_known.perceptual
afternoon_nn,afternoon,1,3.05,3.276943663,3.05,0.5,1.15,3.05,Visual,1
attack_nn,attack,1,3.727272727,4.550381638,3.727272727,2.151515152,2.818181818,3.939393939,Visual,1
bag_nn,bag,1,4.441176471,5.245186089,4.441176471,3.735294118,1.647058824,4.441176471,Visual,1
ball_nn,ball,1,3.823529412,4.425085664,3.823529412,3.117647059,0.764705882,3.904761905,Visual,1
bar_nn,bar,1,3.526315789,4.179133297,3.526315789,2.052631579,2.473684211,3.526315789,Visual,1
bit_nn,bit,1,2.677419355,3.16909484,2.677419355,2.258064516,0.290322581,3.419354839,Visual,0.96875
chairman_nn,chairman,1,3.055555556,3.455618508,3.055555556,0.222222222,2.333333333,3.055555556,Visual,1
chef_nn,chef,1,3.526315789,3.998359146,3.526315789,1.157894737,1.947368421,3.526315789,Visual,1
circle_vb,circle,1,4.526315789,4.588583269,4.526315789,1.526315789,0,4.526315789,Visual,1
contemplation_nn,contemplation,1,3.866666667,3.933703562,1.4,0.266666667,0.666666667,4,Interoceptive,0.9375
edge_nn,edge,1,4.25,4.799371793,4.25,3.1875,0.9375,4.25,Visual,1
face_nn,face,1,4.95,5.328069894,4.95,3.1,0.25,4.95,Visual,1
fiction_nn,fiction,1,3.647058824,3.891357231,3.647058824,0.117647059,2.176470588,3.647058824,Visual,1
gas_nn,gas,1,3.619047619,3.786264528,1.428571429,0.523809524,1.19047619,3.619047619,Olfactory,1
graft_nn,graft,1,3,3.089349507,3,1.3,0.2,3,Visual,0.588235294
grain_nn,grain,1,3.631578947,4.333161556,3.631578947,2.368421053,0.421052632,3.631578947,Visual,1
head_nn,head,1,4.473684211,4.916003637,4.473684211,3,1.052631579,4.631578947,Visual,1
heel_nn,heel,1,3.15,3.569148659,3.15,2.4,0.35,3.681818182,Visual,1
include_vb,include,1,2.5,2.9026844,2.5,0.666666667,1.944444444,2.952380952,Visual,1
land_nn,land,1,4.472222222,4.671919607,4.472222222,2.25,0.583333333,4.472222222,Visual,1
lane_nn,lane,1,3.761904762,3.764558142,3.761904762,0.476190476,0.095238095,3.761904762,Visual,0.954545455
lass_nn,lass,0,,,,,,,,
maxim_nn,maxim,1,2.529411765,2.825017938,1.823529412,0.588235294,2.529411765,2.529411765,Auditory,0.894736842
multitude_nn,multitude,1,2.444444444,2.784553828,2.444444444,1.277777778,1.444444444,2.444444444,Visual,0.947368421
ounce_nn,ounce,1,3.357142857,3.65451857,3.357142857,2.214285714,0.357142857,3.357142857,Visual,1
part_nn,part,1,3.5,3.699957014,3.5,1.666666667,1.444444444,3.5,Visual,1
pick_vb,pick,1,2.666666667,2.962183437,2.666666667,1.777777778,1.111111111,3.736842105,Visual,1
pin_vb,pin,1,4.052631579,4.624717984,4.052631579,3.157894737,0.894736842,4.052631579,Visual,1
plane_nn,plane,1,4,4.715780015,4,1.722222222,3.277777778,4,Visual,1
player_nn,player,1,3.111111111,3.307636777,3.111111111,0.722222222,1.722222222,3.111111111,Visual,1
prop_nn,prop,1,4.052631579,4.403553976,4.052631579,2.631578947,0.842105263,4.052631579,Visual,1
quilt_nn,quilt,1,4.052631579,4.987482906,3.842105263,4.052631579,0.684210526,4.052631579,Haptic,1
rag_nn,rag,1,3.588235294,4.444768608,3.588235294,3.352941176,1.058823529,3.588235294,Visual,1
rally_nn,rally,1,3.9,4.482201299,3.9,0.4,3.1,3.9,Visual,1
record_nn,record,1,3.176470588,3.53815913,2.176470588,1.235294118,3.176470588,3.176470588,Auditory,1
relationship_nn,relationship,1,3.25,4.183788573,3.25,1.375,2.5625,3.714285714,Visual,1
risk_nn,risk,1,3.052631579,3.796014262,2.842105263,0.684210526,1.421052632,3.8,Interoceptive,1
stab_nn,stab,1,3.4375,4.45234071,3,3.4375,1.5625,3.4375,Haptic,1
stroke_vb,stroke,1,3,3.615154995,2.470588235,1.705882353,0.588235294,3.368421053,Interoceptive,1
thump_nn,thump,1,3.388888889,3.892687143,2.277777778,1.833333333,3.388888889,3.388888889,Auditory,1
tip_vb,tip,1,2.705882353,2.929000645,2.705882353,1.705882353,0.705882353,2.705882353,Visual,1
twist_nn,twist,1,4.647058824,5.087318908,4.647058824,3.117647059,0.823529412,4.647058824,Visual,1
word_nn,word,1,4.470588235,5.453621096,4.470588235,0,4.176470588,4.470588235,Visual,1
