adjective,adjclass,nounclass,n,mean
astonishing,ambig,art,21,8.0952
astonishing,ambig,distance,16,8.4375
astonishing,ambig,human,12,7.9167
astonishing,ambig,objects,19,8.5263
astonishing,ambig,temporal,23,8.6957
astonishing,ambig,unitlike,26,8.5769
beautiful,pos,art,25,5.36
beautiful,pos,distance,23,7
beautiful,pos,human,18,5.3333
beautiful,pos,objects,20,5.8
beautiful,pos,temporal,19,7.7368
beautiful,pos,unitlike,15,5.8667
big,stubborn,human,14,4.5
big,stubborn,objects,14,3.6429
blue,color,objects,23,2.6087
bold,human,human,14,5
charming,pos,art,21,7.1429
charming,pos,distance,26,6.8462
charming,pos,human,9,7.3333
charming,pos,objects,16,6.0625
charming,pos,temporal,24,7.7917
charming,pos,unitlike,16,6.5625
collegial,human,human,11,5.8182
devastating,ambig,art,21,7
devastating,ambig,distance,16,6.875
devastating,ambig,human,19,5.7895
devastating,ambig,objects,13,6.1538
devastating,ambig,temporal,20,8.9
devastating,ambig,unitlike,15,7.7333
disappointing,ambig,art,18,5.8333
disappointing,ambig,distance,16,8.1875
disappointing,ambig,human,12,6.1667
disappointing,ambig,objects,13,7.6154
disappointing,ambig,temporal,19,7.8947
disappointing,ambig,unitlike,18,7.3333
disgusting,neg,art,19,5.4211
disgusting,neg,distance,17,7.8235
disgusting,neg,human,14,5.7857
disgusting,neg,objects,22,5.5455
disgusting,neg,temporal,21,8.0952
disgusting,neg,unitlike,24,7.7083
enchanting,pos,art,20,7.6
enchanting,pos,distance,25,8.12
enchanting,pos,human,17,7.2941
enchanting,pos,objects,13,8.1538
enchanting,pos,temporal,15,8.0667
enchanting,pos,unitlike,18,7.7222
extra,quant,art,17,8.0588
extra,quant,distance,25,9.24
extra,quant,human,19,8.0526
extra,quant,objects,13,8.0769
extra,quant,temporal,22,8.7273
extra,quant,unitlike,25,7.64
fancy,human,human,16,5
friendly,human,human,11,4.6364
graceful,human,human,17,7.2353
green,color,objects,13,2.9231
grinning,human,human,14,6.2857
haunting,neg,art,20,6.3
haunting,neg,distance,18,6.9444
haunting,neg,human,8,5.75
haunting,neg,objects,12,5.8333
haunting,neg,temporal,22,8
haunting,neg,unitlike,18,6.9444
hefty,quant,art,19,7.1579
hefty,quant,distance,15,7.4
hefty,quant,human,12,6.4167
hefty,quant,objects,11,7.4545
hefty,quant,temporal,19,7.9474
hefty,quant,unitlike,23,7.3043
hideous,neg,art,21,6
hideous,neg,distance,19,6.5263
hideous,neg,human,13,6.5385
hideous,neg,objects,16,6.0625
hideous,neg,temporal,15,8.1333
hideous,neg,unitlike,21,6.381
hopeful,human,human,18,7.5
impressive,ambig,art,14,7.9286
impressive,ambig,distance,18,9.0556
impressive,ambig,human,9,8.4444
impressive,ambig,objects,16,7.375
impressive,ambig,temporal,18,7.2778
impressive,ambig,unitlike,17,7.7647
incredible,ambig,art,15,8.4667
incredible,ambig,distance,16,8.3125
incredible,ambig,human,10,7.3
incredible,ambig,objects,16,8.1875
incredible,ambig,temporal,17,8.2941
incredible,ambig,unitlike,20,7.45
large,stubborn,human,18,3.2778
large,stubborn,objects,20,4.3
lovely,pos,art,22,6.9091
lovely,pos,distance,25,7.08
lovely,pos,human,13,5.8462
lovely,pos,objects,17,6.7647
lovely,pos,temporal,25,8.32
lovely,pos,unitlike,16,7.375
lucky,human,human,14,7
meager,quant,art,23,7.8261
meager,quant,distance,26,8.9615
meager,quant,human,9,8
meager,quant,objects,14,9
meager,quant,temporal,21,8.1429
meager,quant,unitlike,20,7.15
measly,quant,art,21,7.5714
measly,quant,distance,15,8.7333
measly,quant,human,16,8.8125
measly,quant,objects,11,9.0909
measly,quant,temporal,23,7.9565
measly,quant,unitlike,21,7.5238
mediocre,ambig,art,18,5.5
mediocre,ambig,distance,16,8.125
mediocre,ambig,human,19,7.6842
mediocre,ambig,objects,15,6.4667
mediocre,ambig,temporal,22,7.2727
mediocre,ambig,unitlike,21,7.0476
mere,quant,art,19,7.8947
mere,quant,distance,19,9.2632
mere,quant,human,6,8.1667
mere,quant,objects,13,8.0769
mere,quant,temporal,16,8.875
mere,quant,unitlike,23,8.1739
orange,color,objects,16,3.125
paltry,quant,art,19,7.4737
paltry,quant,distance,20,8.8
paltry,quant,human,24,8.3333
paltry,quant,objects,19,8.0526
paltry,quant,temporal,14,8.3571
paltry,quant,unitlike,13,7.8462
pathetic,ambig,art,20,7.45
pathetic,ambig,distance,20,8.5
pathetic,ambig,human,14,7.0714
pathetic,ambig,objects,20,7.4
pathetic,ambig,temporal,19,8.5789
pathetic,ambig,unitlike,23,6
record-setting,quant,art,21,8.9524
record-setting,quant,distance,18,9
record-setting,quant,human,8,7.75
record-setting,quant,objects,18,7.3889
record-setting,quant,temporal,22,9.0455
record-setting,quant,unitlike,28,8.25
red,color,objects,8,3
remarkable,ambig,art,15,7.2667
remarkable,ambig,distance,16,8.75
remarkable,ambig,human,16,7.5
remarkable,ambig,objects,11,7.7273
remarkable,ambig,temporal,18,9.0556
remarkable,ambig,unitlike,13,7.5385
round,stubborn,human,11,4.3636
round,stubborn,objects,13,4.0769
shy,human,human,15,5
small,stubborn,human,10,3.7
small,stubborn,objects,12,4.25
soothing,pos,art,21,5.9524
soothing,pos,distance,24,7.625
soothing,pos,human,11,5.9091
soothing,pos,objects,18,6.9444
soothing,pos,temporal,26,8.1154
soothing,pos,unitlike,18,6.2778
staggering,quant,art,22,8
staggering,quant,distance,23,8.3043
staggering,quant,human,16,7.75
staggering,quant,objects,11,7.9091
staggering,quant,temporal,24,8.3333
staggering,quant,unitlike,21,8.2857
substantial,quant,art,21,6.0476
substantial,quant,distance,20,7.5
substantial,quant,human,16,5.5625
substantial,quant,objects,11,6.4545
substantial,quant,temporal,11,7.9091
substantial,quant,unitlike,21,7.8095
surprising,ambig,art,27,6.6667
surprising,ambig,distance,23,8.4783
surprising,ambig,human,10,8.4
surprising,ambig,objects,14,7.2143
surprising,ambig,temporal,19,8.7895
surprising,ambig,unitlike,21,6.5238
talented,human,human,16,6.5625
tall,stubborn,objects,14,4.3571
ugly,neg,art,25,5.8
ugly,neg,distance,18,6.5556
ugly,neg,human,12,6.5
ugly,neg,objects,14,5.3571
ugly,neg,temporal,25,7.72
ugly,neg,unitlike,26,6.7308
uninviting,neg,art,19,5.1053
uninviting,neg,distance,24,6.5417
uninviting,neg,human,14,6.2143
uninviting,neg,objects,12,6
uninviting,neg,temporal,21,6
uninviting,neg,unitlike,20,6.45
unsatisfying,ambig,art,21,6.6667
unsatisfying,ambig,distance,24,8.3333
