--check PASS: frozen sha256 1b87dc871e4ec8dd (63 items); let-alone combined n=33; full-set 1c5cffb18c5ef78e; s60-subset 9be31a8fea8d7f16
run1 A: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.2336 -> run1-A-labels.json
run1 B: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.2782 -> run1-B-labels.json
run1 C: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.3903 -> run1-C-labels.json
run2 A: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.6253 -> run2-A-labels.json
run2 B: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.6706 -> run2-B-labels.json
run2 C: 63 rows, 0 missing, let-alone worked 33/33, cumulative $0.7825 -> run2-C-labels.json
run3 A: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.0194 -> run3-A-labels.json
run3 B: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.0643 -> run3-B-labels.json
run3 C: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.1767 -> run3-C-labels.json
run4 A: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.4126 -> run4-A-labels.json
run4 B: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.4574 -> run4-B-labels.json
run4 C: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.5693 -> run4-C-labels.json
run5 A: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.8063 -> run5-A-labels.json
run5 B: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.8510 -> run5-B-labels.json
run5 C: 63 rows, 0 missing, let-alone worked 33/33, cumulative $1.9642 -> run5-C-labels.json
TOTAL billed this invocation: $1.9642
