adjclass,nounclass,n,mean
ambig,art,190,7.0368
ambig,distance,181,8.326
ambig,human,134,7.0224
ambig,objects,157,7.4076
ambig,temporal,194,8.2526
ambig,unitlike,190,7.4053
color,objects,73,2.7808
human,human,146,6.089
neg,art,104,5.7404
neg,distance,96,6.8438
neg,human,61,6.1803
neg,objects,76,5.7368
neg,temporal,104,7.5673
neg,unitlike,109,6.8624
pos,art,109,6.5413
pos,distance,123,7.3333
pos,human,68,6.2794
pos,objects,84,6.6548
pos,temporal,109,8.0183
pos,unitlike,83,6.7831
quant,art,197,7.7208
quant,distance,200,8.67
quant,human,138,7.7971
quant,objects,137,8.1095
quant,temporal,193,8.4508
quant,unitlike,218,7.8807
stubborn,human,53,3.9057
stubborn,objects,73,4.137
